"state_usa","average_income","minimum_income","maximum_income"
"Alabama",51113,23999,96993
"Alaska",76440,35219,134318
"Arizona",62283,29466,113589
"Arkansas",48829,23028,90052
"California",80440,37698,149265
"Colorado",76240,35636,130714
"Connecticut",79287,37426,142596
"Delaware",64040,30544,120324
"Florida",58108,27064,105773
"Georgia",58932,27609,112609
"Hawaii",78084,36987,130299
"Idaho",53545,25119,92625
"Illinois",70387,32737,126359
"Indiana",57881,27050,97462
"Iowa",62075,28709,101572
"Kansas",59046,27487,100276
"Kentucky",50675,23915,88278
"Louisiana",50686,23855,93827
"Maine",54927,25964,98362
"Maryland",89392,42343,167535
"Massachusetts",82427,38980,144960
"Michigan",61347,28357,111915
"Minnesota",72027,33578,124913
"Mississippi",47131,22732,81693
"Missouri",55685,26550,93281
"Montana",54875,25507,91862
"Nebraska",59929,27458,100060
"Nevada",60106,26809,112808
"New Hampshire",78676,38121,138525
"New Jersey",81740,39625,161372
"New Mexico",48701,23313,78605
"New York",70137,33332,128558
"North Carolina",54560,26202,92266
"North Dakota",63715,30750,95621
"Ohio",56583,27214,97224
"Oklahoma",51424,25018,87833
"Oregon",63835,29709,120548
"Pennsylvania",65135,30524,119394
"Rhode Island",64962,30811,128555
"South Carolina",52536,24334,96505
"South Dakota",56499,26356,90226
"Tennessee",55107,25885,98512
"Texas",63656,29537,116343
"Utah",72558,33432,130461
"Vermont",58305,27663,104926
"Virginia",75417,34723,151753
"Washington",77338,36118,142957
"West Virginia",46254,21967,85459
"Wisconsin",63795,29622,117154
"Wyoming",60434,28973,104732
